timestamp,open,high,low,close,volume
2024-02-16,1122.6000,1126.9000,1117.0000,1119.8500,262499
2024-02-15,1121.3000,1131.1000,1110.0000,1121.1500,22932
2024-02-14,1108.5500,1120.7000,1104.5500,1115.7000,127923
2024-02-13,1117.8500,1124.9000,1104.0000,1117.7000,164231
2024-02-12,1124.4500,1128.5000,1111.4500,1118.9500,71407
2024-02-09,1137.0000,1144.9500,1115.8000,1121.1000,203529
2024-02-08,1147.9500,1147.9500,1116.9500,1142.6000,175061
2024-02-07,1138.5000,1148.2000,1132.0000,1134.5500,656111
2024-02-06,1125.0000,1155.9500,1122.6000,1134.2500,203984
2024-02-05,1153.2500,1159.0000,1110.4000,1113.7500,76698
2024-02-02,1150.0500,1175.1000,1145.3000,1150.5500,251109
2024-02-01,1171.8500,1171.8500,1149.2000,1150.7500,50129
2024-01-31,1164.0000,1174.5000,1146.7500,1170.7000,26964
2024-01-30,1164.9000,1181.1000,1154.8000,1158.3000,40927
2024-01-29,1159.4000,1169.3500,1158.0500,1162.0500,981424
2024-01-25,1190.3000,1200.9500,1157.3500,1159.8500,365568
2024-01-24,1144.6000,1200.0000,1142.2500,1190.4500,227684
2024-01-23,1140.1000,1172.5000,1135.0000,1159.2000,141141
2024-01-22,1125.0000,1125.0000,1125.0000,1125.0000,0
2024-01-20,1133.4500,1139.0000,1119.1000,1123.0000,62859
2024-01-19,1087.2500,1136.0000,1087.2500,1125.0000,488224
2024-01-18,1078.0000,1095.4500,1074.9500,1086.7000,107441
2024-01-17,1092.4500,1106.9500,1078.3000,1085.1500,36373
2024-01-16,1106.9500,1116.8000,1093.6500,1095.3500,38718
2024-01-15,1078.1500,1104.4500,1075.5500,1101.8000,50955
2024-01-12,1059.2000,1078.5500,1051.7500,1076.1000,795068
2024-01-11,1064.6500,1074.3500,1057.2500,1062.8500,96624
2024-01-10,1069.8500,1073.0000,1055.5500,1063.5500,471498
2024-01-09,1052.0000,1067.2000,1048.4000,1064.9000,1473314
2024-01-08,1054.7500,1058.8000,1046.2500,1049.1500,79925
2024-01-05,1055.9000,1063.2500,1039.0000,1046.8500,341349
2024-01-04,1036.9500,1059.0000,1027.6500,1049.1500,45855
2024-01-03,1031.9000,1036.8500,1021.5000,1035.1000,70944
2024-01-02,1018.0000,1025.4000,1016.1500,1021.9000,88890
2024-01-01,1029.0500,1031.9500,1007.3000,1013.0500,80617
