timestamp,open,high,low,close,volume
2024-02-16,925.9500,948.5000,925.0000,938.7500,566794
2024-02-15,924.7000,927.0000,916.5000,920.2000,442218
2024-02-14,900.0000,920.0000,894.1500,918.3000,524505
2024-02-13,911.0000,918.5500,894.0000,906.9000,341848
2024-02-12,917.0000,925.0000,908.1500,911.2500,269070
2024-02-09,927.7000,927.7000,906.0500,914.9500,897703
2024-02-08,937.7000,939.7500,918.7000,924.4500,380102
2024-02-07,943.5500,944.5500,928.2500,933.5500,390616
2024-02-06,939.0000,941.0000,928.4000,939.4500,916894
2024-02-05,942.0000,949.6000,915.2000,926.8000,2818087
2024-02-02,886.8000,895.7500,876.8000,878.8000,741857
2024-02-01,901.9000,901.9000,876.1000,878.3500,1071249
2024-01-31,866.6500,896.6500,865.4500,884.2000,1451000
2024-01-30,842.8000,886.3000,842.8000,859.2500,759508
2024-01-29,813.7500,843.7000,811.0000,840.8500,547076
2024-01-25,813.9000,813.9000,800.3000,811.4500,532450
2024-01-24,803.0000,812.0000,789.0000,810.9000,375528
2024-01-23,824.0000,827.7000,796.3000,800.4000,1093429
2024-01-22,823.3000,823.3000,823.3000,823.3000,0
2024-01-20,826.7500,826.7500,817.5000,819.0000,164907
2024-01-19,824.8500,825.6500,819.6000,823.3000,663451
2024-01-18,808.0000,822.5000,796.8500,818.9000,930961
2024-01-17,813.8000,813.8000,803.4000,805.5500,688022
2024-01-16,814.7500,827.0000,812.7500,818.9000,392615
2024-01-15,821.9500,821.9500,810.8500,812.3500,276367
2024-01-12,818.9500,818.9500,809.5000,816.2500,1029657
2024-01-11,812.5500,817.4000,809.0000,815.8500,650222
2024-01-10,799.8000,810.7500,792.8000,808.2500,384042
2024-01-09,799.1000,809.0000,793.7000,799.5000,560888
2024-01-08,798.8500,800.1500,787.6000,789.0500,693387
2024-01-05,800.0000,805.8500,787.2000,790.5500,908403
2024-01-04,797.2500,801.8500,791.3500,795.6500,652726
2024-01-03,786.0000,790.0000,776.2000,781.3500,652481
2024-01-02,800.6500,804.0000,779.1500,784.5500,604902
2024-01-01,786.7000,798.5000,781.4000,790.5000,1067010
2023-12-29,756.4500,802.6000,753.9000,780.7500,3504270
2023-12-28,743.4000,757.8500,739.0000,754.2000,430065
2023-12-27,727.3500,741.8000,725.1000,740.6000,1164067
2023-12-26,727.0000,727.8000,716.6000,719.6500,577179
2023-12-22,717.0000,731.0000,712.0500,724.6000,941329
2023-12-21,702.4500,711.9000,695.9000,708.7500,364318
2023-12-20,730.0500,732.9500,703.0000,704.9500,999277
2023-12-19,733.4500,733.4500,726.1000,729.2000,202628
2023-12-18,733.8000,734.8500,728.0000,730.6000,554393
2023-12-15,724.0000,734.0500,721.2500,732.4000,621031
2023-12-14,725.0000,725.0000,718.4000,719.6500,299733
2023-12-13,716.8000,721.2000,713.7000,720.2500,308155
2023-12-12,725.8500,725.8500,713.0000,715.3000,294597
