timestamp,open,high,low,close,volume
2024-02-16,275.8500,278.0500,270.4000,274.5000,774578
2024-02-15,272.4000,279.8500,269.1500,277.1000,1833998
2024-02-14,258.2500,269.9000,256.0000,268.9000,1278383
2024-02-13,257.8000,262.3000,254.6000,259.7500,858428
2024-02-12,262.4000,266.5000,256.8500,257.8000,776296
2024-02-09,274.6000,275.6000,259.0000,266.9500,2484994
2024-02-08,273.8500,275.6500,269.0000,273.3000,1240503
2024-02-07,275.3000,275.3000,267.7000,271.9500,1057995
2024-02-06,265.9500,273.3500,260.1500,272.2500,2366667
2024-02-05,261.9000,267.9500,255.0500,263.1000,2218169
2024-02-02,250.2500,259.9500,249.5000,257.2500,1344252
2024-02-01,256.8000,256.8000,245.5500,247.6500,1597044
2024-01-31,250.8500,254.3500,246.3000,252.4500,2209865
2024-01-30,257.7500,263.4000,248.6000,249.2000,3034766
2024-01-29,242.6500,255.1500,239.2500,252.8500,2801670
2024-01-25,234.6500,237.5000,232.8000,234.0000,788202
2024-01-24,231.7500,234.9500,228.0000,234.3500,796842
2024-01-23,243.1500,245.4000,228.0000,229.9000,1012061
2024-01-19,236.0000,242.5000,235.0000,242.0000,902980
2024-01-18,230.2500,234.4000,224.4500,233.4500,1422602
2024-01-17,232.6500,237.1500,230.8000,232.3000,1366860
2024-01-16,234.9500,239.0000,231.2000,235.1000,2002011
2024-01-15,229.2000,235.4000,224.6500,233.5500,2639314
2024-01-12,213.9500,224.7000,212.4000,223.3500,1552023
2024-01-11,214.3000,214.3000,210.8500,211.7500,570721
2024-01-10,215.2500,215.2500,209.6500,212.1000,939579
2024-01-09,221.3000,221.7500,216.0000,216.6500,442842
2024-01-08,218.8000,220.7500,217.1000,217.8000,685127
2024-01-05,215.7500,217.5000,213.1000,216.4000,706839
2024-01-04,210.8000,215.4000,209.4000,214.6000,832587
2024-01-03,205.7500,210.5000,204.9000,208.2000,448823
2024-01-02,205.7500,210.6500,203.8000,207.0000,791929
2024-01-01,206.4500,207.1000,204.6500,205.2500,562945
2023-12-29,208.2500,208.2500,204.3000,205.0500,641567
2023-12-28,206.0000,208.9000,205.3500,208.3000,521009
2023-12-27,209.9000,209.9000,204.5500,205.3500,452333
2023-12-26,204.9500,208.4500,203.5500,207.2500,580286
2023-12-22,204.4500,204.5000,201.8500,203.9000,772098
2023-12-21,203.3000,206.6500,201.2500,202.6500,884185
2023-12-20,201.9000,212.0000,201.0000,203.1500,3888457
2023-12-19,202.4500,203.4500,199.3500,200.4000,570003
2023-12-18,201.4000,201.5500,197.4000,198.9000,436925
2023-12-15,197.1500,201.9500,197.0000,201.0500,1474951
2023-12-14,195.0500,196.2000,193.3000,195.9500,607528
2023-12-13,195.6500,195.6500,192.0500,193.1500,676334
2023-12-12,197.0000,197.8500,194.5500,195.5000,523511
2023-12-11,197.4500,200.9500,194.2000,198.0500,441912
2023-12-08,199.9500,200.2500,194.1500,195.9000,837356
2023-12-07,201.0000,201.0000,196.1000,199.0500,926370
2023-12-06,204.4500,204.4500,199.1500,202.0500,317217
2023-12-05,202.8500,203.9000,199.1500,201.9500,785200
2023-12-04,195.7000,205.7500,195.7000,202.0500,2175001
2023-12-01,195.3500,198.2000,194.2000,194.6000,511350
2023-11-30,193.6000,195.5000,192.1000,194.8000,630973
2023-11-29,195.4000,195.4000,191.7000,192.0500,198728
2023-11-28,189.9000,194.4000,188.4000,193.8500,242014
2023-11-24,192.2000,192.2000,188.3000,188.7500,220598
2023-11-23,190.9000,191.5500,189.6500,190.6000,168238
2023-11-22,191.6000,191.9000,189.7500,190.9000,315059
2023-11-21,193.0500,193.9000,190.9500,191.2500,598462
2023-11-20,198.4500,198.4500,197.0000,197.8500,219513
2023-11-17,201.7500,201.7500,195.6000,196.2500,1291263
2023-11-16,202.7500,203.3500,201.0000,201.8500,570454
2023-11-15,198.0000,203.0500,197.6500,199.4500,1469908
2023-11-13,195.6000,197.2000,194.2000,195.4500,848447
2023-11-10,193.4500,196.4000,192.6500,195.7500,334910
2023-11-09,196.8500,196.8500,192.0500,192.6500,266206
2023-11-08,193.9500,196.5000,192.3500,195.4500,374702
2023-11-07,193.3000,197.9500,192.4000,193.2000,627644
2023-11-06,190.9000,194.1000,189.6000,193.3000,370491
2023-11-03,186.4500,190.5000,185.8000,189.9500,464066
2023-11-02,186.6500,187.5000,185.7500,186.3000,116158
2023-11-01,186.1000,188.7500,185.0500,186.6000,159506
2023-10-31,188.8500,189.8000,184.2000,186.1000,277304
2023-10-30,184.8000,189.3000,184.7000,188.8000,384776
2023-10-27,181.0000,185.7500,180.3500,184.7500,193509
2023-10-26,183.1500,184.1000,179.8000,181.0000,247008
2023-10-25,184.8000,185.8000,183.1500,183.9000,185079
2023-10-23,186.0000,186.0000,184.0000,184.8000,165600
2023-10-20,186.9500,187.0500,185.7500,186.1500,80122
2023-10-19,186.2500,186.7000,185.0500,186.2500,147197
2023-10-18,187.1000,187.9000,186.0500,186.8000,179832
2023-10-17,186.8000,186.9000,185.7000,186.1500,137319
2023-10-16,187.0500,188.2000,186.1500,186.5000,531270
2023-10-13,184.5000,186.2500,184.1000,184.9000,162665
2023-10-12,183.3500,184.8500,183.0500,184.4000,107943
2023-10-11,184.2000,184.7500,182.7500,183.1500,216455
2023-10-10,182.0500,184.4500,182.0500,183.4500,383394
2023-10-09,182.0000,184.7000,181.3000,181.8000,480925
2023-10-06,183.7000,183.7000,180.6000,181.3500,155240
2023-10-05,181.4500,184.0000,181.1500,182.1500,260219
2023-10-04,184.6000,184.6000,182.2000,182.7500,380326
2023-10-03,189.8000,189.8000,183.7000,184.6000,563477
2023-09-29,188.0500,192.2500,188.0500,191.8000,708636
2023-09-28,188.7500,189.4500,186.5000,187.8500,512267
2023-09-27,189.1000,189.1000,186.2500,187.2500,261373
2023-09-26,186.9500,188.1000,185.3000,187.7500,241257
2023-09-25,185.7500,186.5500,185.3000,185.4500,181346
2023-09-22,186.0500,187.5000,184.9500,185.1500,215810
2023-09-21,188.2000,188.3000,186.0500,186.7000,207633
2023-09-20,189.3500,189.4000,186.2500,188.1500,311244
2023-09-18,185.1000,187.4500,185.0500,186.7000,344792
2023-09-15,191.5500,191.5500,185.7000,186.6500,408390
2023-09-14,184.5000,188.8000,184.2500,187.8500,1016915
2023-09-13,181.5500,184.6500,180.8500,183.9000,584819
2023-09-12,184.2500,184.8500,180.2000,180.9000,699873
2023-09-11,185.1500,185.6500,182.4000,183.5000,537600
2023-09-08,182.8500,184.9000,182.3000,184.4000,292793
